StartDateTime,C-2 DM,C-2 PDM,S-21 DM,S-21 PDM,S-42 DM,S-42 PDM,S-49 DM,S-49 PDM,S-64 DM,S-64 PDM,S-35 DM,S-35 PDM,S-97 DM,S-97 PDM,Eastern Standards,Western Standards,Western Deficiency Standards,DRF Triggers
2024-12-16,3.79175,2.4748,6.60025,5.50706,6.7325,4.92288,5.154,3.2988899999999997,4.0565,1.7796800000000002,10.95825,8.153979999999999,,,15.5,15.5,15.6,
2024-12-17,2.7885,2.49325,6.33825,5.55595,5.9205,4.98156,4.0105,3.34075,2.7615,1.83744,10.1597,8.27196,,,15.5,15.5,15.6,
2024-12-18,1.302,2.42707,5.5512,5.555689999999999,5.2425,4.996060000000001,4.0355,3.37935,1.6185,1.82527,9.220125,8.324639999999999,,,15.5,15.5,15.6,
2024-12-19,0.633,2.33264,5.24335,5.53925,4.696,4.98026,3.817,3.40238,0.9355,1.77844,8.41845,8.32958,,,15.5,15.5,15.6,
2024-12-20,0.388,2.23541,5.1431000000000004,5.5194399999999995,4.2565,4.94408,3.346,3.39956,0.6245,1.72075,8.0632,8.31626,,,15.5,15.5,15.6,
2024-12-21,0.294,2.14296,5.1166,5.50026,3.917,4.89517,2.73525,3.36793,0.647,1.6696199999999999,7.7586,8.2897,,,15.5,15.5,15.6,
2024-12-22,0.265,2.0576,5.02415,5.47862,3.7575,4.84345,2.15075,3.3125999999999998,0.589,1.6205,7.58805,8.25781,,,15.5,15.5,15.6,
2024-12-23,0.2645,1.97964,4.91075,5.453930000000001,3.642,4.79122,1.68175,3.2417,0.506,1.5720399999999999,7.58975,8.22876,,,15.5,15.5,15.6,
2024-12-24,0.312,1.91016,2.7708000000000004,5.34213,3.5065,4.73769,1.3885,3.16448,0.407,1.5235,7.420100000000001,8.19507,,,15.5,15.5,15.6,
2024-12-25,0.2895,1.84533,3.9613,5.286899999999999,3.217,4.67686,1.3495,3.09188,0.4905,1.48218,8.185125,8.19467,,,15.5,15.5,15.6,
2024-12-26,0.2925,1.78561,3.7832,5.2290600000000005,3.1565,4.61838,1.517,3.03131,0.44225,1.44218,7.386774999999999,8.1636,,,15.5,15.5,15.6,
2024-12-27,0.3485,1.73238,2.6141,5.13221,2.8685,4.55357,1.709,2.98233,0.539,1.40873,6.5027,8.102079999999999,,,15.5,15.5,15.6,
2024-12-28,0.3215,1.68199,2.67075,5.0443,2.8015,4.491,1.5705,2.93191,0.5045,1.37643,6.0768249999999995,8.02975,,,15.5,15.5,15.6,
2024-12-29,0.331,1.63541,3.1336,4.97842,2.499,4.42231,1.608,2.88626,0.495,1.34604,5.0939250000000005,7.928520000000001,,,15.5,15.5,15.6,
2024-12-30,0.2135,1.58801,1.3455050000000002,4.85732,2.0815,4.3442799999999995,1.4195,2.83737,0.458,1.31644,4.615725,7.81809,,,15.5,15.5,15.6,
2024-12-31,0.2075,1.54348,2.67025,4.786770000000001,1.731,4.25998,1.33125,2.78878,0.411,1.28723,3.77965,7.687819999999999,,,15.5,15.5,15.6,
2025-01-01,0.2125,0.2125,2.62065,2.62065,1.5005,1.5005,1.241,1.241,0.448,0.448,4.020735,4.02074,,,12.5,12.5,15.6,
2025-01-02,0.204,0.20825,2.3714749999999998,2.49606,1.4555,1.478,1.1445,1.19275,0.4255,0.43675,4.307825,4.16428,,,12.5,12.5,15.6,
2025-01-03,0.208,0.20817,1.6798499999999998,2.2239899999999997,1.328,1.428,1.146,1.17717,0.46725,0.44692000000000004,3.436025,3.92153,,,12.5,12.5,15.6,
2025-01-04,0.1895,0.2035,1.9095,2.1453699999999998,1.429,1.42825,0.8825,1.1035,0.4695,0.45256,3.8575749999999998,3.90554,,,12.5,12.5,15.6,
2025-01-05,0.2045,0.2037,2.1394,2.14418,1.4475,1.4321,0.952,1.0732000000000002,0.4145,0.44495,4.4893,4.02229,,,12.5,12.5,15.6,
2025-01-06,0.23,0.20808000000000001,2.04875,2.12827,1.642,1.46708,0.94025,1.05104,0.42675,0.44192000000000004,4.2543,4.06096,,,12.5,12.5,15.6,
2025-01-07,0.2125,0.20871,2.01945,2.11273,1.8525,1.52214,0.8345,1.02011,0.4435,0.44214,5.21195,4.22539,,,12.5,12.5,15.6,
2025-01-08,0.23,0.21137999999999998,1.99145,2.09757,1.496,1.51888,0.9045,1.00566,0.45,0.44312999999999997,4.67795,4.28196,,,12.5,12.5,15.6,
2025-01-09,0.2125,0.2115,1.9925,2.08589,1.18,1.48122,0.9345,0.99775,0.482,0.44744,3.1094,4.15167,,,12.5,12.5,15.6,
2025-01-10,0.2045,0.21080000000000002,1.9586,2.0731599999999997,1.1595,1.44905,0.936,0.99158,0.638,0.4665,2.9448000000000003,4.03099,,,12.5,12.5,15.6,
2025-01-11,0.216,0.21127,1.7096500000000001,2.04012,1.1935,1.4258199999999999,0.9865,0.99111,0.516,0.471,2.581975,3.8992600000000004,,,12.5,12.5,15.6,
2025-01-12,0.2145,0.21154,1.5121,1.9961099999999998,1.188,1.406,1.018,0.9933500000000001,0.54,0.47675,2.62585,3.7931399999999997,,,12.5,12.5,15.6,
2025-01-13,0.20825,0.21129,1.5829000000000002,1.96433,1.259,1.39469,1.0555,0.99813,0.553,0.48262,2.49275,3.6931100000000003,,,12.5,12.5,15.6,
2025-01-14,0.2295,0.21259,1.54955,1.9347,1.2235,1.38246,1.074,1.00355,0.4595,0.48096,3.20275,3.65808,,,12.5,12.5,15.6,
2025-01-15,0.225,0.21342,1.533825,1.90798,1.20125,1.3703800000000002,1.0335,1.00555,0.458,0.47943,3.039975,3.61688,,,12.5,12.5,15.6,
